Taste,Flavor,Texture,Occasion,Company,,no,combined taste/flavor/texture/appearance,Taste,Flavor,Texture,combined occasion/taste,Occasion,Company
buttery,chocolate,airy,For the season,For adults,,1,"meaty, ",meaty,,,"For individuals, For friends",,
cheesy,vanilla,creamy,For fun,For individuals,,2,"airy, buttery, creamy, milky, soft, sweet","buttery,cramy,milky,soft,sweet",,airy,"For snacking, For special occasions",,
chocolatey,honey,crispy,For snacking,For families,,3,"crunchy, chewy, spicy","chewy,spicy",,cruncy,"For sharing, For family, For friends",,
flavorful,yuzu,crunchy,For quick meal/convenience,For friends,,4,"meaty, savoury",savoury,,meaty,"For quick meal/convenience, For individuals",,
fruity,matcha,custardy,For special occasion,,,5,"meaty, savoury",,,,"For quick meal/convenience, For sharing, For friends, For families",,
meaty,apple,delicate,,,,6,"crunchy, savoury, sour, sweet","savoury, sour, sweet",,crunchy,For quick meal/convenience,,
milky,blueberry,fluffy,,,,7,"buttery, crispy",buttery,,crispy,For fun,,
salty,fruit,gooey,,,,8,"creamy, custardy, smooth, sweet",,,,For snacking,,
savoury,,heavy,,,,9,"custardy, fruity, smooth, sweet",,,,For fun,,
sour,,light,,,,10,"airy, buttery, crispy, sweet",,,,"For snacking, For individuals, For fun",,
spicy,,powdery,,,,11,"crunchy, salty, savoury, spicy",,,,For quick meal/convenience,,
sweet,,smooth,,,,12,"fruity, sweet",,,,"For snacking, For sharing",,
,,soft,,,,13,"fruity, milky, sweet",,,,"For snacking, For individuals",,
,,tender,,,,14,"chewy, crunchy, sweet",,,,For snacking,,
,,garlicky,,,,15,"milky, sweet",,,,For snacking,,
,,chewy,,,,16,", cheesy, chewy, crunchy, salty, savoury, spicy",,,,For snacking,,
,,,,,,17,", airy, buttery, creamy, fluffy, sweet",,,,"For sharing, For families, For friends, For special occasions",,
,,,,,,18,"chewy, sweet",,,,For snacking,,
,,,,,,19,", airy, creamy, fluffy, milky, sweet",,,,For snacking,,
,,,,,,20,"hearty, spicy",,,,For quick meal/convenience,,
,,,,,,21,"crunchy, heavy, salty, savoury, spicy, sweet",,,,"For sharing, for snacking, for quick meal/convenience",,
,,,,,,22,", crunchy, custardy, delicate, smooth, sweet",,,,For snacking,,
,,,,,,23,crispy,,,,"For quick meal/convenience, Regular meal, For sharing",,
,,,,,,24,"spicy, chewy",,,,"For quick meal/convenience, For individuals, For friends",,
,,,,,,25,"crunchy, sweet, salty",,,,"For snacking, For children, For individuals, For sharing",,
,,,,,,26,"saucey, gooey, soft",,,,"For individuals, For fun",,
,,,,,,27,"soft, braised, spicy, saucey, comfort",,,,"For families, For sharing",,
,,,,,,28,"sweet, buttery",,,,"For families, For snacking, For friends",,
,,,,,,29,"milky, buttery",,,,"For families, For snacking, For friends",,
,,,,,,30,"moist, fruity, soft, sweet, sour",,,,"For families, For snacking, For friends",,
,,,,,,31,"fluffy, moist, sweet",,,,"For families, For snacking, For friends",,
,,,,,,32,"salty, sweet, comfort, garlicky",,,,"For families, For snacking, For friends, For special occasion, For fun",,
,,,,,,33,"milky, soupy",,,,"For quick meal/convenience, For individuals, For snacking",,
,,,,,,34,"creamy, chewy, cheesy",,,,"For families, For snacking, For friends, For fun",,
,,,,,,35,"chewy, cheesy, creamy",,,,"For fun, For snacking, For individuals",,
,,,,,,36,"cheesy, creamy, sweet, comfort",,,,"For friends, For sharing",,
,,,,,,37,"cheesy, creamy, sweet",,,,"For friends, For individuals, For fun",,
,,,,,,38,"crispy, creamy, custardy, sweet",,,,"For individuals, For fun, For children",,
,,,,,,39,"crispy, creamy, custardy, sweet",,,,"For friends, For families, For individuals",,
,,,,,,40,"creamy, crunchy, chewy, sweet, fruity, sour, nutty",,,,"For individuals, For fun",,
,,,,,,41,"light, fluffy, soft, sweet",,,,"For individuals, For sharing, For snacking, For special occasion",,
,,,,,,42,"sweet,",,,,"For friends, For sharing, For fun, For children",,
,,,,,,43,"creamy, smooth",,,,"For individuals, For fun",,
,,,,,,44,"soft, fluffy, sweet, light",,,,"For individuals, For friends, For fun",,
,,,,,,45,"chewy, creamy, sweet",,,,"For families, For friends, For individuals, For children",,
,,,,,,46,"creamy, nutty, sweet, savoury",,,,"For individuals, For children, For sharing",,
,,,,,,47,"creamy, soft, savoury",,,,"For individuals, For fun, For friends, For sharing",,
,,,,,,48,"creamy, fluffy",,,,"For individuals, For children, For friends",,
,,,,,,49,", sweet, soft",,,,"For individuals, For children, For fun",,
,,,,,,50,"fluffy, soft, cheesy",,,,"For families, For friends, For children",,
,,,,,,51,"chocolatey, creamy, milky, ",,,,"For individuals, For children, For fun",,
,,,,,,52,"savoury, salty, comfort",,,,"For individuals, Regular meal",,
,,,,,,53,"chewy, sweet,",,,,"For individuals, For children, For sharing",,
,,,,,,54,"sweet, milky",,,,"For individuals, For children",,
,,,,,,55,"soft, cheesy, crispy and chewy",,,,"For friends, For families, For children, For sharing",,
,,,,,,56,"sweet, fruity, chocolatey",,,,"For individuals, For friends, For families, For sharing",,
,,,,,,57,"sweet, creamy",,,,"For individuals, For friends, For sharing",,
,,,,,,58,"spicy, sweet",,,,"For individuals, For snacking",,
,,,,,,59,"meaty, cheesy, tender",,,,"For families, For special occasion, For sharing",,
,,,,,,60,"chewy, buttery",,,,"For families, For sharing",,
,,,,,,61,", sweet, creamy, milky",,,,"For friends, For children, For families, For sharing",,
,,,,,,62,"smooth, delicate, creamy, meaty, savoury",,,,"For families, For friends, For sharing",,
,,,,,,63,"cheesy, chewy, creamy",,,,"For friends, For families",,
,,,,,,64,"cheesy, chewy",,,,"For friends, For families, For sharing",,
,,,,,,65,"creamy, milky, sweet",,,,"For families, For children, For individuals, For friends, For fun",,
,,,,,,66,"smooth, creamy, milky",,,,"For families, for children, For individuals",,
,,,,,,67,"sweet, smooth, milky",,,,"For families, for children, For individuals",,
,,,,,,68,"light, fluffy",,,,"For friends, For children, For sharing, For fun",,
,,,,,,69,"crunchy, soft, sweet",,,,"For individuals, For children, For snacking",,
,,,,,,70,"fluffy, airy, creamy",,,,"For family, For friends, For sharing",,
